Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
bead size chart;29;29;70;12;0.00;https://rezagemcollection.ca/pages/beads-size-chart;0;0;0.00;0.18;38200000;[42,33,33,33,33,33,42,33,33,33,42,33];2025-09-05;Image pack, Video, Image, People also ask, Related searches;commercial, informational;Organic
october.birthstone;53;53;50;27;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;4930000;[11,0,11,0,5,0,100,17,23,0,64,82];2025-09-02;Image pack, Sitelinks, Video, Image, AI overview;informational;Organic
bead stores toronto;27;27;140;41;0.38;https://rezagemcollection.ca/;0;0;0.00;0.76;11000000;[18,18,8,10,22,35,54,14,43,22,8,66];2025-09-07;Local pack, Image pack, Sitelinks, Video, Image, Related searches;commercial;Organic
pale blue semi precious gemstone;16;16;260;10;0.52;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.57;10;[53,66,66,82,100,66,66,82,66,53,35,66];2025-11-10;Image pack, Video, Image, Video Carousel, People also ask, Related searches;commercial;Image pack
pale blue semi precious gemstone;16;16;260;10;0.52;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.57;10;[53,66,66,82,100,66,66,82,66,53,35,66];2025-11-10;Image pack, Video, Image, Video Carousel, People also ask, Related searches;commercial;Image pack
unakite meaning;35;35;90;32;0.00;https://rezagemcollection.ca/blogs/news/unakite-meaning-properties-and-uses-unakite;0;0;0.00;0;428000;[10,22,22,18,22,29,18,22,22,14,14,18];2025-08-27;Image pack, Video, People also ask, Related searches, AI overview;informational;Organic
pink opal color;79;79;320;8;0.17;https://rezagemcollection.ca/products/pink-opal-aaaa-polished-round-beads;0;0;0.00;0.7;10;[54,54,54,66,66,100,66,81,0,44,1,1];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
bead store barrie;63;63;70;23;0.40;https://rezagemcollection.ca/;0;0;0.00;0.44;85;[100,100,100,18,100,18,18,18,18,18,100,100];2025-09-08;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches;navigational;Organic
cultured pearl;11;11;90;37;0.28;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;0.84;12500000;[21,15,21,34,21,28,21,34,28,28,28,21];2025-09-10;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, See results about;commercial;Organic
real stone bracelets;54;0;90;12;0.30;https://rezagemcollection.ca/collections/bracelet;0;0;0.00;1;29800000;[6,6,6,6,65,100,53,43,12,6,6,6];2025-11-27;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
beading size chart;31;31;70;29;0.00;https://rezagemcollection.ca/pages/beads-size-chart;0;0;0.00;0.18;3510000;[0,63,63,63,63,63,81,63,18,63,63,63];2025-08-23;Image pack, Video, Image, People also ask, Related searches;commercial, informational;Organic
silvery obsidian;37;37;70;12;0.00;https://rezagemcollection.ca/products/silver-sheen-obsidian-polished-round-beads;0;0;0.00;0.35;26800000;[42,33,33,33,52,9,9,33,33,33,33,9];2025-08-27;Image pack, Video, Image, Popular products, Related searches, AI overview;commercial;Organic
larimar stones;21;21;90;27;0.17;https://rezagemcollection.ca/collections/larimar;0;0;0.00;1;1550000;[3,5,3,3,3,23,23,23,5,100,5,3];2025-08-28;Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches;informational;Organic
freshwater pearls;32;32;1000;23;5.27;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;6010000;[81,55,55,55,100,45,55,36,62,81,62,81];2025-10-05;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
freshwater pearls;77;77;1000;23;5.27;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;1;6010000;[81,55,55,55,100,45,55,36,62,81,62,81];2025-10-05;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
what is the birthstone for october;52;52;390;30;0.24;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.17;3580000;[48,48,59,48,21,32,39,26,26,32,39,48];2025-09-04;Sitelinks, Video, Related searches, AI overview;informational;Organic
kam baba;86;86;50;8;0.00;https://rezagemcollection.ca/products/kambaba-jasper-polished-round-beads;0;0;0.00;0.01;83800000;[23,23,23,29,29,29,29,100,0,29,23,29];2025-08-30;Image pack, Video, People also ask, Related searches;commercial, informational;Organic
unakite healing properties;69;69;110;26;0.00;https://rezagemcollection.ca/blogs/news/unakite-meaning-properties-and-uses-unakite;0;0;0.00;0.02;267000;[21,15,15,15,28,43,43,34,53,34,43,53];2025-08-20;Image pack, Related searches, AI overview;informational;Organic
emerald set;33;33;50;14;0.51;https://rezagemcollection.ca/products/jewelry-set-emerald-3;0;0;0.00;1;367000000;[28,21,15,28,12,21,15,15,15,21,21,9];2025-08-27;Image pack, Sitelinks, Video, Image, Popular products, Related searches;informational, transactional;Organic
emerald set;50;50;50;14;0.51;https://rezagemcollection.ca/products/jewelry-set-emerald-1;0;0;0.00;1;367000000;[28,21,15,28,12,21,15,15,15,21,21,9];2025-08-27;Image pack, Sitelinks, Video, Image, Popular products, Related searches;informational, transactional;Organic
sunstone crystal meaning;37;37;170;23;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.01;1180000;[65,65,65,53,80,100,53,42,80,53,53,53];2025-08-26;Featured snippet, Related searches, AI overview;informational;Organic
pale blue gem;27;27;210;16;0.36;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.67;40000000;[66,66,53,66,66,82,100,35,35,43,53,35];2025-09-10;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
blue crystals stones;34;34;110;20;0.00;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.44;21700000;[53,42,53,100,65,53,65,15,19,15,3,42];2025-09-09;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
properties of labradorite;45;45;70;32;0.41;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.06;1760000;[15,11,11,11,15,34,34,15,19,15,53,42];2025-08-23;Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
moonstone beads;30;30;70;3;0.49;https://rezagemcollection.ca/collections/moonstone;0;0;0.00;0.98;3450000;[52,29,52,41,41,52,41,41,52,41,41,52];2025-08-26;Image pack, Video, Image, Popular products, Related searches;informational, transactional;Organic
tanzanite gemstone;82;82;140;35;0.57;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;1;7240000;[9,42,19,19,42,80,100,80,66,80,100,100];2025-09-03;Video, Image, Popular products, Related searches;commercial;Organic
gem lazuli;12;12;70;8;0.34;https://rezagemcollection.ca/collections/lapis-lazuli-gemstone-beads;0;0;0.00;0.73;10;[14,14,14,64,50,50,78,78,100,78,50,78];2025-11-19;Image pack, Sitelinks, Video, Related searches, AI overview;commercial, informational;Organic
green and blue semi precious stone;10;10;50;21;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.07;15100000;[41,11,82,64,11,11,11,11,11,52,100,11];2025-09-04;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
august stone birthstone;28;28;590;26;0.24;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;1;2260000;[36,36,10,36,36,24,36,100,30,45,36,36];2025-11-13;Image pack, Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
blue topaz meaning;37;37;260;22;0.25;https://rezagemcollection.ca/blogs/news/blue-topaz-the-radiant-gemstone-of-clarity-and-calm;0;0;0.00;0.14;10800000;[44,44,35,44,44,66,44,28,35,28,35,28];2025-08-23;Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
kyanite blue meaning;24;24;70;14;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.03;295000;[63,45,45,36,63,18,100,81,81,63,81,81];2025-09-04;Video, Image, People also ask, Related searches, AI overview;informational;Organic
crystal shop canada;22;22;90;47;0.41;https://rezagemcollection.ca/;0;0;0.00;1;193000000;[9,9,11,9,14,11,7,9,11,9,9,11];2025-11-19;Local pack, Sitelinks, Video, Image, Popular products;commercial;Organic
tanzanite;57;57;5400;26;0.56;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.91;10;[54,66,81,66,66,44,66,66,66,66,81,100];2025-11-15;Image pack, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
shungite rocks;1;1;140;9;0.22;https://rezagemcollection.ca/blogs/news/shungite-beads-for-jewelry-making;0;0;0.00;1;10;[44,15,9,19,4,19,19,19,23,19,19,29];2025-11-10;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;People also ask
blue howlite;26;26;110;6;0.00;https://rezagemcollection.ca/collections/howlite-gemstone-beads;0;0;0.00;0.14;2070000;[22,22,22,29,18,14,18,22,22,22,22,29];2025-11-26;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
labradorite stone benefits;43;43;50;15;0.00;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.03;1310000;[2,2,9,6,6,15,6,6,9,6,2,6];2025-09-06;Image pack, Video, Image, Related searches, AI overview;informational;Organic
october burthstone;54;54;50;32;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;4930000;[0,11,17,23,17,11,100,17,23,5,64,82];2025-09-02;Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches;informational;Organic
fresh pearls;34;34;480;23;5.27;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;49400000;[36,30,24,45,55,55,10,6,30,36,24,30];2025-09-29;Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
gems and beads;18;18;210;24;0.53;https://rezagemcollection.ca/collections/beads;0;0;0.00;1;16200000;[65,43,53,65,65,81,81,65,53,53,43,53];2025-10-29;Local pack, Sitelinks, Video, Image, Video Carousel, Related searches;commercial;Organic
blue kyanite healing properties;38;38;50;11;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.08;497000;[17,28,12,12,10,12,12,10,10,17,12,7];2025-08-20;Image pack, Sitelinks, Image, People also ask, Related searches, AI overview;informational;Organic
august birthstones;18;18;390;35;0.24;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;1;1860000;[4,13,54,7,5,13,13,20,5,13,30,24];2025-11-06;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
emerald in stone;21;21;1300;32;0.47;https://rezagemcollection.ca/collections/emerald-gemstone-beads;0;0;0.00;0.96;7;[81,62,81,81,62,81,62,81,81,62,62,100];2025-11-25;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational, transactional;Organic
freshwater cultured pearls;63;63;590;17;0.45;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;1;2950000;[67,55,45,100,76,20,20,45,45,45,36,30];2025-10-12;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
october birthstones color;64;64;70;22;0.18;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.41;1050000;[0,0,0,100,0,0,0,0,0,0,0,0];2025-08-24;Video, Image, Popular products, Related searches, AI overview;commercial, informational;Organic
black moonstone gemstone;59;59;260;10;0.23;https://rezagemcollection.ca/collections/moonstone;0;0;0.00;0.4;9350000;[100,100,80,80,100,100,100,80,100,80,80,65];2025-09-06;Image pack, Video, Image, Video Carousel, Popular products, Related searches;commercial;Organic
gem sunstone;55;55;50;24;0.00;https://rezagemcollection.ca/products/sunstone-faceted-stone;0;0;0.00;0.44;1600000;[42,7,7,7,7,7,42,0,0,7,42,42];2025-09-04;Image pack, Video, Related searches;commercial, informational;Organic
gem sunstone;87;87;50;24;0.00;https://rezagemcollection.ca/products/sunstone-square-beads;0;0;0.00;0.44;1600000;[42,7,7,7,7,7,42,0,0,7,42,42];2025-09-04;Image pack, Video, Related searches;commercial, informational;Organic
green gemstone;31;31;480;19;0.62;https://rezagemcollection.ca/collections/green-semi-precious-stones;0;0;0.00;0.36;866000000;[14,48,59,11,39,100,59,32,88,26,32,48];2025-09-08;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
blue semi precious stone names;22;22;140;26;0.00;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.1;2480000;[100,82,64,82,82,82,82,82,82,64,82,64];2025-09-07;Image pack, Video, Featured snippet, Image, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
tanzonite;86;86;70;43;0.66;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.88;17500000;[0,0,0,0,6,5,5,81,5,5,23,28];2025-08-27;Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches;informational, transactional;Organic
genuine ruby rings canada;20;20;50;7;0.59;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;0.98;92;[35,28,14,35,35,35,21,21,78,50,28,28];2025-09-08;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
rocks with purple crystals;37;37;70;26;0.00;https://rezagemcollection.ca/blogs/news/amethyst-rock;0;0;0.00;0.85;7700000;[78,64,78,78,50,64,64,50,50,0,50,14];2025-08-28;Video, Featured snippet, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
gem beads;16;16;70;25;0.71;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;21000000;[12,5,12,7,15,5,10,7,5,4,5,3];2025-08-24;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
ruby and zoisite meaning;8;8;70;14;0.00;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0;94;[63,81,81,81,63,45,45,63,81,63,63,18];2025-09-10;People also ask, Related searches, AI overview;informational;Organic
gem and mineral show toronto;77;77;170;8;0.00;https://rezagemcollection.ca/;0;0;0.00;0;431000;[66,18,22,29,66,10,22,29,81,29,18,22];2025-08-23;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches;informational;Organic
yooperlit;18;18;170;28;0.34;https://rezagemcollection.ca/collections/yooperlite;0;0;0.00;0.54;610000;[0,100,0,0,100,0,0,0,0,0,0,0];2025-08-24;Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about, AI overview;informational;Organic
yooperlit;61;61;170;28;0.34;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.54;610000;[0,100,0,0,100,0,0,0,0,0,0,0];2025-08-24;Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about, AI overview;informational;Organic
fluorite stone;29;29;170;27;0.22;https://rezagemcollection.ca/collections/fluorite-gemstone-beads;0;0;0.00;0.43;11900000;[65,65,53,65,53,65,65,53,80,65,80,65];2025-09-08;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
january stone garnet;97;97;210;19;0.00;https://rezagemcollection.ca/blogs/news/january-birthstone-garnet-and-its-alternatives;0;0;0.00;0.85;4650000;[10,1,1,8,1,76,55,36,1,1,1,1];2025-09-02;Featured snippet, Video Carousel, Related searches;commercial;Organic
sunstone healing properties;20;20;170;18;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.02;1280000;[35,35,28,18,23,23,28,18,28,28,23,23];2025-09-03;Image pack, Image, Related searches, Discussions and forums, AI overview;informational;Organic
jewelry supplies canada;33;33;320;23;0.62;https://rezagemcollection.ca/;0;0;0.00;1;66300000;[54,44,36,54,44,54,54,66,44,54,44,23];2025-09-12;Local pack, Image, Related searches;commercial;Organic
fw pearls;17;17;1000;19;5.27;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;1180000;[62,45,45,55,81,81,62,62,81,55,62,81];2025-10-08;Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
what is a yooperlite;25;25;110;22;0.00;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.05;253000;[3,3,3,3,3,3,23,3,44,100,28,15];2025-11-26;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview;informational;Organic
larimar rock;16;16;720;24;0.15;https://rezagemcollection.ca/collections/larimar;0;0;0.00;1;2040000;[62,45,55,81,81,100,45,24,30,30,20,30];2025-10-04;Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
canadian crystal wholesalers;22;22;50;32;0.73;https://rezagemcollection.ca/;0;0;0.00;1;139000;[41,41,29,29,41,29,41,11,29,29,29,52];2025-09-03;Local pack, Sitelinks, Video, Image, Related searches;commercial;Organic
canadian crystal wholesalers;49;49;50;32;0.73;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;0;0;0.00;1;139000;[41,41,29,29,41,29,41,11,29,29,29,52];2025-09-03;Local pack, Sitelinks, Video, Image, Related searches;commercial;Organic
fine gems canada;37;37;480;28;1.00;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;0.42;38800000;[54,54,67,67,67,54,54,36,44,54,44,44];2025-09-07;Knowledge panel, Image pack, Sitelinks, Video, Popular products, Related searches;navigational;Organic
fine gems canada;44;44;480;28;1.00;https://rezagemcollection.ca/;0;0;0.00;0.42;38800000;[54,54,67,67,67,54,54,36,44,54,44,44];2025-09-07;Knowledge panel, Image pack, Sitelinks, Video, Popular products, Related searches;navigational;Organic
heart gemstone;38;38;50;5;0.50;https://rezagemcollection.ca/collections/heart-shape-gemstone-beads;0;0;0.00;0.73;394000000;[35,35,50,35,50,50,64,64,50,50,50,14];2025-09-10;Image pack, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
tanzanite stones;57;57;140;28;0.16;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.98;9120000;[18,54,29,66,14,10,14,18,43,22,22,35];2025-11-26;Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
crystal meanings tigers eye;59;59;140;12;0.03;https://rezagemcollection.ca/blogs/news/tigers-eye-gemstone-and-beads-meaning-benefits-and-jewelry-uses;0;0;0.00;0.03;8;[0,0,43,100,53,66,66,53,43,0,0,0];2025-11-22;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
purple rocks;46;0;110;35;0.53;https://rezagemcollection.ca/blogs/news/amethyst-rock;0;0;0.00;0.2;220000000;[54,18,18,10,22,14,18,8,66,22,29,22];2025-11-27;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
tourmaline pink meaning;27;27;140;11;0.00;https://rezagemcollection.ca/blogs/news/pink-tourmaline-meaning-healing-properties-and-more;0;0;0.00;0.01;2930000;[66,66,52,66,66,66,66,52,66,66,52,52];2025-08-26;Image pack, Video, Related searches, AI overview;informational;Organic
green kyanite;34;34;90;5;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.41;3100000;[34,42,42,34,34,34,42,26,42,42,34,7];2025-08-25;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
october 5th birthstone;36;36;50;27;0.00;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.2;2990000;[18,18,18,100,18,18,18,18,100,18,100,100];2025-09-05;Video, Related searches, AI overview;informational;Organic
gemstone shop;14;14;140;44;0.54;https://rezagemcollection.ca/;0;0;0.00;0.69;10;[15,15,19,19,23,10,4,5,12,15,19,19];2025-11-10;Local pack, Image pack, Sitelinks, Image, Related searches;commercial;Organic
gemstone shop;88;88;140;44;0.54;https://rezagemcollection.ca/;0;0;0.00;0.69;10;[15,15,19,19,23,10,4,5,12,15,19,19];2025-11-10;Local pack, Image pack, Sitelinks, Image, Related searches;commercial;Image pack
gemstone shop;97;97;140;44;0.54;https://rezagemcollection.ca/;0;0;0.00;0.69;10;[15,15,19,19,23,10,4,5,12,15,19,19];2025-11-10;Local pack, Image pack, Sitelinks, Image, Related searches;commercial;Image pack
bluish green gem;19;19;140;20;0.00;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.51;4730000;[53,53,53,53,53,53,53,53,53,53,53,42];2025-09-07;Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview;informational;Organic
gem wholesale;27;27;90;23;0.82;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;0;0;0.00;0.92;25400000;[28,28,34,28,21,21,28,34,28,21,28,21];2025-08-25;Image pack, Sitelinks, Video, People also ask, Related searches;commercial, informational;Organic
gem wholesale;66;66;90;23;0.82;https://rezagemcollection.ca/;0;0;0.00;0.92;25400000;[28,28,34,28,21,21,28,34,28,21,28,21];2025-08-25;Image pack, Sitelinks, Video, People also ask, Related searches;commercial, informational;Organic
cultivated pearl;13;13;70;30;0.21;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;9640000;[64,64,64,50,50,64,78,28,14,14,50,7];2025-08-31;Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview;informational;Organic
emerald jewelry set;35;35;70;10;0.66;https://rezagemcollection.ca/products/jewelry-set-emerald-3;0;0;0.00;1;28100000;[28,23,12,17,23,17,17,17,17,17,10,5];2025-08-29;Image pack, Video, Image, Popular products, Related searches;commercial;Organic
october stone birthstone;60;60;260;36;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;2250000;[100,4,9,14,7,4,5,14,11,14,21,88];2025-09-05;Image pack, Sitelinks, Video, Related searches, AI overview;informational;Organic
ruby rings;58;58;590;11;0.66;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;42100000;[30,30,13,24,66,16,16,13,54,13,24,16];2025-10-06;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
unakite properties;38;38;90;26;0.00;https://rezagemcollection.ca/blogs/news/unakite-meaning-properties-and-uses-unakite;0;0;0.00;0.02;321000;[23,23,19,12,10,7,5,5,5,4,5,3];2025-09-07;Video, Related searches, AI overview;informational;Organic
what is a october birthstone;27;27;390;24;0.24;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.17;3690000;[54,44,54,100,54,67,54,4,1,67,54,36];2025-09-07;Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
gem store toronto;10;10;70;43;0.00;https://rezagemcollection.ca/;0;0;0.00;0.73;10;[4,4,4,4,4,4,4,4,5,4,4,4];2025-11-17;Local pack, Sitelinks, Video, Image, Related searches;commercial;Organic
gemstone beads;15;15;170;25;0.64;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;34100000;[35,53,35,35,2,23,53,82,35,53,43,43];2025-09-11;Knowledge panel, Image pack, Sitelinks, Video, Popular products, Related searches;commercial;Organic
gemstone beads;79;79;170;25;0.64;https://rezagemcollection.ca/collections/beads;0;0;0.00;1;34100000;[35,53,35,35,2,23,53,82,35,53,43,43];2025-09-11;Knowledge panel, Image pack, Sitelinks, Video, Popular products, Related searches;commercial;Organic
supplies for necklace making;34;34;480;26;0.65;https://rezagemcollection.ca/blogs/news/jewelry-making-supplies-checklist-everything-you-need-to-get-started;0;0;0.00;1;368000000;[100,100,81,81,100,100,81,54,81,100,81,54];2025-09-06;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview;informational, transactional;Organic
supplies for necklace making;56;56;480;26;0.65;https://rezagemcollection.ca/blogs/bead-journal/jewelry-making-supplies-essential-tools-and-materials-for-beginners;0;0;0.00;1;368000000;[100,100,81,81,100,100,81,54,81,100,81,54];2025-09-06;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview;informational, transactional;Organic
october gemstone;51;51;480;24;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.2;39100000;[36,44,54,100,54,67,36,29,29,44,44,44];2025-09-10;Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches;informational;Organic
semi precious stone colors;11;11;110;29;0.83;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.46;15400000;[42,42,65,42,65,53,65,19,7,34,42,42];2025-08-23;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
precious stone beads;14;14;170;14;0.53;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;9180000;[65,43,53,65,65,34,53,65,53,34,43,53];2025-10-29;Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
shungite jewelry;23;23;50;10;0.44;https://rezagemcollection.ca/blogs/news/shungite-beads-for-jewelry-making;0;0;0.00;1;92;[7,7,7,7,7,7,53,42,42,42,15,7];2025-08-31;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches;commercial;Organic
reza gem collection;28;28;70;28;0.00;https://rezagemcollection.ca/products/amethyst-faceted-barrel-beads;0;0;0.00;0.05;61;[33,42,9,52,9,52,42,33,52,66,0,0];2025-09-09;Knowledge panel, Image pack, Sitelinks, Video, Related searches;navigational;Image pack
reza gem collection;28;28;70;28;0.00;https://rezagemcollection.ca/products/freshwater-cultured-pearl-a;0;0;0.00;0.05;61;[33,42,9,52,9,52,42,33,52,66,0,0];2025-09-09;Knowledge panel, Image pack, Sitelinks, Video, Related searches;navigational;Image pack
reza gem collection;28;28;70;28;0.00;https://rezagemcollection.ca/products/mixed-polished-round-beads;0;0;0.00;0.05;61;[33,42,9,52,9,52,42,33,52,66,0,0];2025-09-09;Knowledge panel, Image pack, Sitelinks, Video, Related searches;navigational;Image pack
apatite gemstone;67;67;90;46;0.43;https://rezagemcollection.ca/blogs/news/apatite-meaning-healing-properties-colors-shapes-and-jewelry-uses;0;0;0.00;0.5;2470000;[9,9,9,9,15,12,9,9,12,12,12,15];2025-09-04;Sitelinks, Video, Featured snippet, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
pearl what is;59;59;320;48;0.00;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;0;572000000;[66,36,44,54,54,54,54,44,54,44,44,44];2025-11-25;Sitelinks, Video, Video Carousel, Related searches, AI overview;informational;Organic
october birthdtone;62;62;110;32;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;4890000;[28,34,28,53,21,100,15,21,15,34,53,43];2025-09-06;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
stone light green;10;10;70;21;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.3;720000000;[82,0,64,64,11,11,11,41,64,52,52,64];2025-09-10;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational;Organic
